member_number,member_name,payment_date,amount,payment_type,period,notes
31,,18/09/2015,500,,,
31,,14/10/2015,500,,,
32,,13/11/2014,500,,,
32,,24/12/2014,500,,,
32,,19/01/2015,500,,,
32,,13/02/2015,500,,,
32,,25/03/2015,500,,,
32,,20/04/2015,500,,,
32,,21/05/2015,500,,,
32,,21/06/2015,500,,,
32,,21/07/2015,500,,,
32,,19/08/2015,500,,,
32,,18/09/2015,500,,,
32,,14/10/2015,500,,,
33,,13/11/2014,500,,,
33,,24/12/2014,500,,,
33,,19/01/2015,500,,,
33,,13/02/2015,500,,,
33,,25/03/2015,500,,,
33,,20/04/2015,500,,,
33,,21/05/2015,500,,,
33,,21/06/2015,500,,,
33,,21/07/2015,500,,,
33,,19/08/2015,500,,,
33,,18/09/2015,500,,,
33,,14/10/2015,500,,,
34,,13/11/2014,500,,,
34,,24/12/2014,500,,,
34,,19/01/2015,500,,,
34,,13/02/2015,500,,,
34,,25/03/2015,500,,,
34,,20/04/2015,500,,,
34,,21/05/2015,500,,,
34,,21/06/2015,500,,,
34,,21/07/2015,500,,,
34,,19/08/2015,500,,,
34,,18/09/2015,500,,,
34,,14/10/2015,500,,,
23,,23/10/2014,500,,,
23,,26/11/2014,500,,,
23,,22/12/2014,500,,,
23,,28/01/2015,500,,,
23,,17/02/2015,500,,,
23,,24/03/2015,500,,,
23,,19/04/2015,500,,,
23,,21/05/2015,500,,,
23,,18/06/2015,500,,,
23,,14/07/2015,500,,,
23,,18/08/2015,500,,,
23,,13/09/2015,500,,,
24,,23/10/2014,500,,,
24,,26/11/2014,500,,,
24,,22/12/2014,500,,,
24,,28/01/2015,500,,,
24,,17/02/2015,500,,,
24,,24/03/2015,500,,,
24,,19/04/2015,500,,,
24,,21/05/2015,500,,,
24,,18/06/2015,500,,,
24,,14/07/2015,500,,,
24,,18/08/2015,500,,,
24,,13/09/2015,500,,,
25,,23/10/2014,500,,,
25,,26/11/2014,500,,,
25,,22/12/2014,500,,,
25,,28/01/2015,500,,,
25,,17/02/2015,500,,,
25,,24/03/2015,500,,,
25,,19/04/2015,500,,,
25,,21/05/2015,500,,,
25,,18/06/2015,500,,,
25,,14/07/2015,500,,,
25,,18/08/2015,500,,,
25,,13/09/2015,500,,,
26,,23/10/2014,500,,,
26,,26/11/2014,500,,,
26,,22/12/2014,500,,,
26,,28/01/2015,500,,,
26,,17/02/2015,500,,,
26,,24/03/2015,500,,,
26,,19/04/2015,500,,,
26,,21/05/2015,500,,,
26,,18/06/2015,500,,,
26,,14/07/2015,500,,,
26,,18/08/2015,500,,,
26,,13/09/2015,500,,,
27,,23/10/2014,500,,,
27,,26/11/2014,500,,,
27,,22/12/2014,500,,,
27,,28/01/2015,500,,,
27,,17/02/2015,500,,,
27,,24/03/2015,500,,,
27,,19/04/2015,500,,,
27,,21/05/2015,500,,,
27,,18/06/2015,500,,,
27,,14/07/2015,500,,,
27,,18/08/2015,500,,,
27,,13/09/2015,500,,,
28,,23/10/2014,500,,,
28,,26/11/2014,500,,,
28,,22/12/2014,500,,,
28,,28/01/2015,500,,,
28,,17/02/2015,500,,,
28,,24/03/2015,500,,,
28,,19/04/2015,500,,,
28,,21/05/2015,500,,,
28,,18/06/2015,500,,,
28,,14/07/2015,500,,,
28,,18/08/2015,500,,,
28,,13/09/2015,500,,,
35,,15/11/2014,1000,,,
35,,27/12/2014,1000,,,
35,,18/01/2015,1000,,,
35,,23/02/2015,1000,,,
35,,23/03/2015,1000,,,
35,,7/4/2015,1000,,,
35,,20/05/2015,1000,,,
35,,16/06/2015,5000,,,
36,,9/11/2014,1000,,,
36,,15/12/2014,500,,,
36,,18/01/2015,500,,,
36,,23/02/2015,500,,,
36,,23/03/2015,500,,,
36,,7/4/2015,500,,,
36,,20/05/2015,500,,,
36,,16/06/2015,2500,,,
36,,29/07/2015,8000,,,
37,,9/11/2014,1000,,,
37,,15/12/2014,500,,,
37,,18/01/2015,500,,,
37,,23/02/2015,500,,,
37,,23/03/2015,500,,,
37,,7/4/2015,500,,,
37,,20/05/2015,500,,,
37,,16/06/2015,2500,,,
38,,26/11/2014,500,,,
38,,24/12/2014,500,,,
38,,22/01/2015,500,,,
38,,22/02/2015,500,,,
38,,23/03/2015,500,,,
38,,15/04/2015,500,,,
38,,21/05/2015,500,,,
38,,21/06/2015,500,,,
38,,19/07/2015,500,,,
38,,19/08/2015,500,,,
38,,15/09/2015,500,,,
38,,14/10/2015,500,,,
39,,24/11/2014,500,,,
39,,21/12/2014,500,,,
39,,22/01/2015,500,,,
39,,22/02/2015,500,,,
39,,19/03/2015,500,,,
39,,16/04/2015,500,,,
39,,20/05/2015,500,,,
39,,14/06/2015,500,,,
39,,13/07/2015,500,,,
39,,20/08/2015,500,,,
39,,13/09/2015,500,,,
39,,16/10/2015,500,,,
40,,24/11/2014,500,,,
40,,21/12/2014,500,,,
40,,22/01/2015,500,,,
40,,22/02/2015,500,,,
40,,19/03/2015,500,,,
40,,16/04/2015,500,,,
40,,20/05/2015,500,,,
40,,14/06/2015,500,,,
40,,13/07/2015,500,,,
40,,20/08/2015,500,,,
40,,13/09/2015,500,,,
40,,14/10/2015,500,,,
41,,30/11/2014,500,,,
41,,24/12/2014,5500,,,
42,,27/11/2014,3500,,,
42,,17/12/2014,3500,,,
42,,17/01/2015,3500,,,
42,,20/02/2015,3500,,,
42,,21/03/2015,3500,,,
42,,19/04/2015,3500,,,
42,,23/05/2015,3500,,,
42,,19/06/2015,3500,,,
42,,10/7/2015,3500,,,
42,,13/08/2015,3500,,,
42,,13/09/2015,3500,,,
42,,10/10/2015,3500,,,
43,,27/11/2014,3000,,,
43,,17/12/2014,3000,,,
43,,17/01/2015,3000,,,
43,,20/02/2015,3000,,,
43,,21/03/2015,3000,,,
43,,19/04/2015,3000,,,
43,,23/05/2015,3000,,,
43,,19/06/2015,3000,,,
43,,10/7/2015,3000,,,
43,,13/08/2015,3000,,,
43,,13/09/2015,3000,,,
43,,10/10/2015,3000,,,
44,,27/11/2014,3000,,,
44,,17/12/2014,3000,,,
44,,26/12/2014,3000,,,
44,,24/02/2015,3000,,,
44,,21/03/2015,3000,,,
44,,19/04/2015,3000,,,
44,,21/05/2015,3000,,,
44,,22/06/2015,3000,,,
44,,10/7/2015,3000,,,
44,,13/08/2015,3000,,,
44,,13/09/2015,3000,,,
44,,10/10/2015,3000,,,
45,,3/1/2015,2000,,,
45,,24/01/2015,500,,,
46,,13/02/2015,500,,,
46,,25/03/2015,500,,,
46,,20/04/2015,500,,,
46,,21/05/2015,500,,,
46,,21/06/2015,500,,,
46,,21/07/2015,500,,,
46,,19/08/2015,500,,,
46,,18/09/2015,500,,,
46,,25/10/2014,500,,,
47,,22/02/2015,2000,,,
47,,21/03/2015,1000,,,
47,,19/04/2015,1000,,,
47,,23/05/2015,1000,,,
47,,19/06/2015,1000,,,
47,,10/7/2015,1000,,,
47,,15/08/2015,1000,,,
47,,12/9/2015,1000,,,
47,,28/10/2014,1000,,,
1,,17/11/2015,2500,,,
1,,15/12/2015,4000,,,
1,,15/01/2016,10500,,,
1,,10/2/2016,10500,,,
1,,26/02/2016,2500,,,
1,,25/03/2016,3000,,,
1,,9/5/2016,3000,,,
1,,8/6/2016,3000,,,
1,,29/06/2016,3000,,,
1,,6/8/2016,3000,,,
1,,4/9/2016,3000,,,
1,,30/09/2016,3000,,,
2,,9/11/2015,5000,,,
2,,15/12/2015,5000,,,
2,,15/01/2016,10500,,,
2,,10/2/2016,4500,,,
2,,12/3/2016,3000,,,
2,,25/03/2016,3000,,,
2,,9/5/2016,3000,,,
2,,8/6/2016,3000,,,
2,,29/06/2016,3000,,,
2,,6/8/2016,3000,,,
2,,4/9/2016,3000,,,
2,,30/09/2016,3000,,,
3,,9/11/2015,3500,,,
3,,15/12/2015,3000,,,
3,,15/01/2016,3000,,,
3,,14/02/2016,3000,,,
3,,03+05/06/37,6000,,,
3,,11/4/2016,5000,,,
3,,9/5/2016,6500,,,
3,,8/6/2016,2000,,,
3,,29/06/2016,2000,,,
3,,6/8/2016,2000,,,
3,,4/9/2016,2000,,,
3,,3/10/2016,3000,,,
4,,17/11/2015,1500,,,
4,,15/12/2015,1000,,,
4,,15/01/2016,1000,,,
4,,12/3/2016,1000,,,
4,,16/6+4/7/37,3000,,,
4,,9/5/2016,500,,,
4,,8/6/2016,500,,,
4,,29/06/2016,500,,,
4,,6/8/2016,500,,,
4,,4/9/2016,500,,,
4,,30/09/2016,500,,,
5,,9/11/2015,3500,,,
5,,15/12/2015,4000,,,
5,,15/01/2016,4000,,,
5,,14/02/2016,4000,,,
5,,12/3/2016,10500,,,
5,,11/4/2016,7000,,,
5,,9/5/2016,4000,,,
5,,8/6/2016,4000,,,
5,,29/06/2016,4000,,,
5,,6/8/2016,4000,,,
5,,4/9/2016,4000,,,
5,,3/10/2016,4000,,,
6,,17/11/2015,1500,,,
6,,15/12/2015,1000,,,
6,,15/01/2016,3000,,,
6,,12/3/2016,1000,,,
6,,16/6+4/7/37,2000,,,
6,,9/5/2016,500,,,
6,,8/6/2016,500,,,
6,,29/06/2016,500,,,
6,,6/8/2016,500,,,
6,,4/9/2016,500,,,
6,,30/09/2016,500,,,
7,,9/11/2015,1000,,,
7,,15/12/2015,500,,,
7,,15/01/2016,500,,,
7,,14/02/2016,500,,,
7,,12/3/2016,500,,,
7,,11/4/2016,500,,,
7,,9/5/2016,500,,,
7,,8/6/2016,500,,,
7,,29/06/2016,500,,,
7,,6/8/2016,500,,,
7,,4/9/2016,500,,,
7,,30/09/2016,500,,,
8,,9/11/2015,1000,,,
8,,15/12/2015,500,,,
8,,15/01/2016,500,,,
8,,14/02/2016,500,,,
8,,12/3/2016,500,,,
8,,11/4/2016,500,,,
8,,9/5/2016,500,,,
8,,8/6/2016,500,,,
8,,29/06/2016,500,,,
8,,6/8/2016,500,,,
8,,4/9/2016,500,,,
8,,30/09/2016,500,,,
9,,7/11/2015,1000,,,
9,,14/12/2015,1000,,,
9,,5/1/2016,1000,,,
9,,14/02/2016,1000,,,
9,,12/3/2016,1000,,,
9,,7/4/2016,1000,,,
9,,6/5/2016,1000,,,
9,,6/6/2016,1000,,,
9,,10/7/2016,1000,,,
9,,5/8/2016,1000,,,
9,,4/9/2016,1000,,,
9,,30/09/2016,1000,,,
10,,7/11/2015,1000,,,
10,,14/12/2015,3500,,,
10,,5/1/2016,500,,,
10,,14/02/2016,500,,,
10,,12/3/2016,500,,,
10,,11/4/2016,500,,,
10,,6/5/2016,500,,,
10,,6/6/2016,3000,,,
10,,10/7/2016,500,,,
10,,5/8/2016,500,,,
10,,4/9/2016,500,,,
10,,30/09/2016,500,,,
11,,9/11/2015,1000,,,
11,,30/11/2015,6000,,,
11,,6/6/2016,17500,,,
12,,7/11/2015,500,,,
12,,14/12/2015,500,,,
12,,5/1/2016,500,,,
12,,14/02/2016,500,,,
12,,12/3/2016,500,,,
12,,7/4/2016,500,,,
12,,9/5/2016,500,,,
12,,8/6/2016,500,,,
12,,29/06/2016,500,,,
12,,6/8/2016,500,,,
12,,4/9/2016,500,,,
12,,30/09/2016,500,,,
13,,9/11/2015,500,,,
13,,30/11/2015,3000,,,
13,,5/7+21/6/437,10000,,,
13,,1/5/2016,1500,,,
13,,26/05/2016,1500,,,
13,,28/06/2016,1500,,,
13,,22/07/2016,1500,,,
13,,3/9/2016,1500,,,
13,,28/09/2016,1500,,,
14,,9/11/2015,500,,,
14,,30/11/2015,3000,,,
14,,10/6/2016,500,,,
14,,17/06/2051,500,,,
14,,30/07/2016,500,,,
14,,28/09/2016,1000,,,
15,,9/11/2015,500,,,
15,,30/11/2015,3000,,,
15,,31/03/2016,4000,,,
15,,10/6/2016,1000,,,
15,,17/06/2051,1000,,,
15,,30/07/2016,1000,,,
15,,28/09/2016,2000,,,
16,,29/10/2015,1000,,,
16,,6/12/2015,1000,,,
16,,31/12/2015,1000,,,
16,,4/2/2016,1000,,,
16,,15/03/2016,1000,,,
16,,4/4/2016,1000,,,
16,,4/5/2016,1000,,,
16,,5/6/2016,1000,,,
16,,14/06/2051,1000,,,
16,,7/8/2016,10000,,,
16,,4/9/2016,10000,,,
16,,3/10/2016,10000,,,
17,,29/10/2015,1000,,,
17,,6/12/2015,1000,,,
17,,31/12/2015,1000,,,
17,,4/2/2016,1000,,,
17,,15/03/2016,1000,,,
17,,4/4/2016,1000,,,
17,,4/5/2016,1000,,,
17,,5/6/2016,1000,,,
17,,7/8/2016,1000,,,
17,,4/9/2016,1000,,,
17,,3/10/2016,1000,,,
18,,10/11/2015,500,,,
18,,10/12/2015,500,,,
18,,12/1/2016,500,,,
18,,9/2/2016,500,,,
18,,8/3/2016,500,,,
18,,13/04/2016,500,,,
18,,8/5/2016,500,,,
18,,2/6/2016,500,,,
18,,12/6/2051,500,,,
18,,2/8/2016,500,,,
18,,2/9/2016,500,,,
18,,29/09/2016,500,,,
19,,29/12/2015,6000,,,
19,,3/10/2016,6000,,,
20,,29/10/2015,500,,,
20,,6/12/2015,500,,,
20,,31/12/2015,500,,,
20,,4/2/2016,500,,,
20,,15/03/2016,500,,,
20,,4/4/2016,500,,,
20,,4/5/2016,500,,,
20,,5/6/2016,500,,,
20,,7/8/2016,1000,,,
21,,29/10/2015,500,,,
21,,6/12/2015,500,,,
21,,31/12/2015,500,,,
21,,4/2/2016,500,,,
21,,15/03/2016,500,,,
21,,4/4/2016,500,,,
21,,4/5/2016,500,,,
21,,5/6/2016,500,,,
21,,7/8/2016,500,,,
21,,4/9/2016,500,,,
21,,3/10/2016,500,,,
22,,29/10/2015,500,,,
22,,6/12/2015,500,,,
22,,31/12/2015,500,,,
22,,4/2/2016,500,,,
22,,15/03/2016,500,,,
22,,4/4/2016,500,,,
22,,4/5/2016,500,,,
22,,5/6/2016,500,,,
22,,7/8/2016,500,,,
22,,4/9/2016,500,,,
22,,3/10/2016,500,,,
29,,7/11/2015,500,,,
29,,14/12/2015,500,,,
29,,5/1/2016,1000,,,
29,,7/4/2016,1000,,,
29,,6/5/2016,1000,,,
29,,6/6/2016,1000,,,
29,,10/7/2016,1000,,,
29,,5/8/2016,1000,,,
29,,6/9/2016,1000,,,
29,,6/10/2016,1000,,,
30,,7/11/2015,500,,,
30,,14/12/2015,500,,,
30,,5/1/2016,500,,,
30,,14/02/2016,500,,,
30,,7/4/2016,1000,,,
30,,6/5/2016,1000,,,
30,,6/6/2016,1000,,,
30,,10/7/2016,1000,,,
30,,5/8/2016,1000,,,
30,,6/9/2016,1000,,,
30,,6/10/2016,1000,,,
31,,7/11/2015,500,,,
31,,14/12/2015,500,,,
31,,5/1/2016,500,,,
31,,14/02/2016,500,,,
31,,7/4/2016,1000,,,
31,,6/5/2016,1000,,,
31,,6/6/2016,1000,,,
31,,10/7/2016,1000,,,
31,,5/8/2016,1000,,,
31,,6/9/2016,1000,,,
31,,6/10/2016,1000,,,
32,,7/11/2015,500,,,
32,,14/12/2015,500,,,
32,,5/1/2016,500,,,
32,,14/02/2016,500,,,
32,,12/3/2016,1000,,,
32,,6/5/2016,500,,,
32,,6/6/2016,500,,,
32,,10/7/2016,500,,,
32,,5/8/2016,500,,,
32,,6/9/2016,500,,,
32,,6/10/2016,500,,,
33,,7/11/2015,500,,,
33,,14/12/2015,500,,,
33,,5/1/2016,500,,,
33,,14/02/2016,500,,,
33,,7/4/2016,1000,,,
33,,6/5/2016,1000,,,
33,,6/6/2016,1000,,,
33,,10/7/2016,1000,,,
33,,5/8/2016,1000,,,
33,,6/9/2016,1000,,,
33,,6/10/2016,1000,,,
34,,7/11/2015,500,,,
34,,14/12/2015,500,,,
34,,5/1/2016,500,,,
34,,14/02/2016,500,,,
34,,7/4/2016,1000,,,
34,,6/5/2016,1000,,,
34,,6/6/2016,1000,,,
34,,10/7/2016,1000,,,
34,,5/8/2016,1000,,,
34,,6/9/2016,1000,,,
34,,6/10/2016,1000,,,
23,,15/10/2015,500,,,
23,,18/11/2015,500,,,
23,,10/1/2016,500,,,
23,,14/02/2016,500,,,
23,,28/02/2016,500,,,
23,,10/4/2016,500,,,
23,,5/5/2016,2500,,,
23,,22/05/2016,2500,,,
23,,10/7/2016,2500,,,
23,,27/07/2016,2500,,,
23,,28/08/2016,2500,,,
23,,28/09/2016,2500,,,
24,,15/10/2015,500,,,
24,,18/11/2015,500,,,
24,,10/1/2016,500,,,
24,,14/02/2016,500,,,
24,,28/02/2016,500,,,
24,,10/4/2016,500,,,
24,,5/5/2016,500,,,
24,,22/05/2016,500,,,
24,,10/7/2016,500,,,
24,,27/07/2016,500,,,
24,,28/08/2016,500,,,
24,,28/09/2016,500,,,
25,,15/10/2015,500,,,
25,,18/11/2015,500,,,
25,,10/1/2016,500,,,
25,,14/02/2016,500,,,
25,,28/02/2016,500,,,
25,,10/4/2016,500,,,
25,,5/5/2016,500,,,
25,,22/05/2016,500,,,
25,,10/7/2016,500,,,
25,,27/07/2016,500,,,
25,,28/08/2016,500,,,
25,,28/09/2016,500,,,
26,,15/10/2015,500,,,
26,,18/11/2015,500,,,
26,,10/1/2016,500,,,
26,,14/02/2016,500,,,
26,,28/02/2016,500,,,
26,,10/4/2016,500,,,
26,,5/5/2016,500,,,
26,,22/05/2016,500,,,
26,,10/7/2016,500,,,
26,,27/07/2016,500,,,
26,,28/08/2016,500,,,
26,,28/09/2016,500,,,
27,,15/10/2015,500,,,
27,,18/11/2015,500,,,
27,,10/1/2016,500,,,
27,,14/02/2016,500,,,
27,,28/02/2016,500,,,
27,,10/4/2016,500,,,
27,,5/5/2016,500,,,
27,,22/05/2016,500,,,
27,,10/7/2016,500,,,
27,,27/07/2016,500,,,
27,,28/08/2016,500,,,
27,,28/09/2016,500,,,
28,,15/10/2015,500,,,
28,,18/11/2015,500,,,
28,,10/1/2016,500,,,
28,,14/02/2016,500,,,
28,,28/02/2016,500,,,
28,,10/4/2016,500,,,
28,,5/5/2016,500,,,
28,,22/05/2016,500,,,
28,,10/7/2016,500,,,
28,,27/07/2016,500,,,
28,,28/08/2016,500,,,
28,,28/09/2016,500,,,
35,,9/11/2015,1000,,,
35,,30/11/2015,6000,,,
35,,8/5/2016,9500,,,
35,,29/05/2016,10500,,,
35,,27/06/2016,10500,,,
35,,7/8/2016,10500,,,
35,,9/8/2016,10000,,,
35,,6/9/2016,3000,,,
36,,9/11/2015,500,,,
36,,30/11/2015,3000,,,
36,,6/6/2016,2500,,,
37,,9/11/2015,500,,,
37,,30/11/2015,3000,,,
37,,6/6/2016,2500,,,
37,,3/7/2016,1000,,,
37,,6/9/2016,1000,,,
37,,1/10/2016,1000,,,
38,,10/11/2015,500,,,
38,,10/12/2015,500,,,
38,,12/1/2016,500,,,
38,,9/2/2016,500,,,
38,,8/3/2016,500,,,
38,,13/04/2016,500,,,
38,,8/5/2016,500,,,
38,,2/6/2016,500,,,
38,,12/6/2051,500,,,
38,,2/8/2016,500,,,
38,,2/9/2016,500,,,
38,,29/09/2016,500,,,
39,,9/11/2015,500,,,
39,,7/12/2015,500,,,
39,,15/01/2016,500,,,
39,,10/2/2016,500,,,
39,,14/03/2016,500,,,
39,,11/4/2016,500,,,
39,,9/5/2016,500,,,
39,,8/6/2016,500,,,
39,,29/06/2016,500,,,
